A	+	29942554
B	-	31357158
C	-	31272071
DMA	-	32953036
DMB	-	32940807
DOA	-	33009536
DOB	-	32816951
DPA1	-	33073570
DPB1	+	33076042
DPB2	+	33112516
DQA1	+	32637459
DQA2	+	32741444
DQB1	-	32666607
DQB2	-	32763470
DRA	+	32439951
DRB1	-	32589742
DRB3	-	NA
DRB4	-	NA
DRB5	-	32530224
DRB6	-	NA
E	+	30489539
F	+	29723464
G	+	29827845
H	+	29887573
J	+	NA
L	+	NA
V	+	NA
